Date,Open,High,Low,Close*,Adj Close**,Volume
"Jan 03, 2019",2491.92,2493.14,2443.96,2447.89,2447.89,3822860000
"Jan 02, 2019",2476.96,2519.49,2467.47,2510.03,2510.03,3733160000
"Dec 31, 2018",2498.94,2509.24,2482.82,2506.85,2506.85,3442870000
"Dec 28, 2018",2498.77,2520.27,2472.89,2485.74,2485.74,3702620000
"Dec 27, 2018",2442.5,2489.1,2397.94,2488.83,2488.83,4096610000
"Dec 26, 2018",2363.12,2467.76,2346.58,2467.7,2467.7,4233990000
"Dec 24, 2018",2400.56,2410.34,2351.1,2351.1,2351.1,2613930000
"Dec 21, 2018",2465.38,2504.41,2408.55,2416.62,2416.62,7609010000
"Dec 20, 2018",2496.77,2509.63,2441.18,2467.42,2467.42,5585780000
"Dec 19, 2018",2547.05,2585.29,2488.96,2506.96,2506.96,5127940000
"Dec 18, 2018",2559.9,2573.99,2528.71,2546.16,2546.16,4470880000
"Dec 17, 2018",2590.75,2601.13,2530.54,2545.94,2545.94,4616350000
"Dec 14, 2018",2629.68,2635.07,2593.84,2599.95,2599.95,4035020000
"Dec 13, 2018",2658.7,2670.19,2637.27,2650.54,2650.54,3927720000
"Dec 12, 2018",2658.23,2685.44,2650.26,2651.07,2651.07,3958890000
"Dec 11, 2018",2664.44,2674.35,2621.3,2636.78,2636.78,3905870000
"Dec 10, 2018",2630.86,2647.51,2583.23,2637.72,2637.72,4151030000
"Dec 07, 2018",2691.26,2708.54,2623.14,2633.08,2633.08,4216690000
"Dec 06, 2018",2663.51,2696.15,2621.53,2695.95,2695.95,5141470000
"Dec 04, 2018",2782.43,2785.93,2697.18,2700.06,2700.06,4499840000
"Dec 03, 2018",2790.5,2800.18,2773.38,2790.37,2790.37,4186060000
"Nov 30, 2018",2737.76,2760.88,2732.76,2760.17,2760.17,4658580000
"Nov 29, 2018",2736.97,2753.75,2722.94,2737.8,2737.8,3560770000
"Nov 28, 2018",2691.45,2744,2684.38,2743.79,2743.79,3951670000
"Nov 27, 2018",2663.75,2682.53,2655.89,2682.17,2682.17,3485220000
"Nov 26, 2018",2649.97,2674.35,2649.97,2673.45,2673.45,3443950000
"Nov 23, 2018",2633.36,2647.55,2631.09,2632.56,2632.56,1651650000
"Nov 21, 2018",2657.74,2670.73,2649.82,2649.93,2649.93,3233550000
"Nov 20, 2018",2654.6,2669.44,2631.52,2641.89,2641.89,4357900000
