,Date,Open,High,Low,Close*,Adj Close**,Volume
193,"Nov 05, 2015",2101.68,2108.78,2090.41,2099.93,2099.93,4051890000.0
194,"Nov 04, 2015",2110.6,2114.59,2096.98,2102.31,2102.31,4078870000.0
195,"Nov 03, 2015",2102.63,2116.48,2097.51,2109.79,2109.79,4272060000.0
196,"Nov 02, 2015",2080.76,2106.2,2080.76,2104.05,2104.05,3760020000.0
197,"Oct 30, 2015",2090.0,2094.32,2079.34,2079.36,2079.36,4256200000.0
198,"Oct 29, 2015",2088.35,2092.52,2082.63,2089.41,2089.41,4008940000.0
199,"Oct 28, 2015",2066.48,2090.35,2063.11,2090.35,2090.35,4698110000.0
200,"Oct 27, 2015",2068.75,2070.37,2058.84,2065.89,2065.89,4216880000.0
201,"Oct 26, 2015",2075.08,2075.14,2066.53,2071.18,2071.18,3385800000.0
202,"Oct 23, 2015",2058.19,2079.74,2058.19,2075.15,2075.15,4108460000.0
203,"Oct 22, 2015",2021.88,2055.2,2021.88,2052.51,2052.51,4430850000.0
204,"Oct 21, 2015",2033.47,2037.97,2017.22,2018.94,2018.94,3627790000.0
205,"Oct 20, 2015",2033.13,2039.12,2026.61,2030.77,2030.77,3331500000.0
206,"Oct 19, 2015",2031.73,2034.45,2022.31,2033.66,2033.66,3287320000.0
207,"Oct 16, 2015",2024.37,2033.54,2020.46,2033.11,2033.11,3595430000.0
208,"Oct 15, 2015",1996.47,2024.15,1996.47,2023.86,2023.86,3746290000.0
209,"Oct 14, 2015",2003.66,2009.56,1990.73,1994.24,1994.24,3644590000.0
210,"Oct 13, 2015",2015.0,2022.34,2001.78,2003.69,2003.69,3401920000.0
211,"Oct 12, 2015",2015.65,2018.66,2010.55,2017.46,2017.46,2893250000.0
212,"Oct 09, 2015",2013.73,2020.13,2007.61,2014.89,2014.89,3706900000.0
213,"Oct 08, 2015",1994.01,2016.5,1987.53,2013.43,2013.43,3939140000.0
214,"Oct 07, 2015",1982.34,1999.31,1976.44,1995.83,1995.83,4666470000.0
215,"Oct 06, 2015",1986.63,1991.62,1971.99,1979.92,1979.92,4202400000.0
216,"Oct 05, 2015",1954.33,1989.17,1954.33,1987.05,1987.05,4334490000.0
217,"Oct 02, 2015",1921.77,1951.36,1893.7,1951.36,1951.36,4378570000.0
218,"Oct 01, 2015",1919.65,1927.21,1900.7,1923.82,1923.82,3983600000.0
219,"Sep 30, 2015",1887.14,1920.53,1887.14,1920.03,1920.03,4525070000.0
220,"Sep 29, 2015",1881.9,1899.48,1871.91,1884.09,1884.09,4132390000.0
221,"Sep 28, 2015",1929.18,1929.18,1879.21,1881.77,1881.77,4326660000.0
222,"Sep 25, 2015",1935.93,1952.89,1921.5,1931.34,1931.34,3721870000.0
223,"Sep 24, 2015",1934.81,1937.17,1908.92,1932.24,1932.24,4091530000.0
224,"Sep 23, 2015",1943.24,1949.52,1932.57,1938.76,1938.76,3190530000.0
225,"Sep 22, 2015",1961.39,1961.39,1929.22,1942.74,1942.74,3808260000.0
